id,name,catchment-area,easting,northing,latitude,longitude,river,location,station-level,measuring-authority-id,measuring-authority-station-id,hydrometric-area,opened,closed,station-type,bankfull-flow,structurefull-flow,sensitivity,nrfa-mean-flow,nrfa-peak-flow,feh-pooling,feh-qmed,feh-neither,nhmp,benchmark,live-data,eflag,historic-droughts,marius,outlook-analogues,outlook-esp,factors-affecting-runoff,gdf-start-date,gdf-end-date,gdf-mean-flow,gdf-min-flow,gdf-first-date-of-min,gdf-last-date-of-min,gdf-max-flow,gdf-first-date-of-max,gdf-last-date-of-max,gdf-q95-flow,gdf-q70-flow,gdf-q50-flow,gdf-q10-flow,gdf-q05-flow,gdf-base-flow-index,gdf-day-count,gdf-flow-count,gdf-percent-complete,peak-flow-start-date,peak-flow-end-date,qmed,minimum-altitude,10-percentile-altitude,50-percentile-altitude,90-percentile-altitude,maximum-altitude,saar-1941-1970,saar-1961-1990,lcm2000-woodland,lcm2000-arable-horticultural,lcm2000-grassland,lcm2000-mountain-heath-bog,lcm2000-urban,lcm2007-woodland,lcm2007-arable-horticultural,lcm2007-grassland,lcm2007-mountain-heath-bog,lcm2007-urban,high-perm-bedrock,moderate-perm-bedrock,low-perm-bedrock,mixed-perm-bedrock,high-perm-superficial,low-perm-superficial,mixed-perm-superficial,propwet,bfihost,farl,dpsbar,sprhost,rmed-1d,rmed-2d,rmed-1h,ldp,dplbar,altbar,aspbar,aspvar,ihdtm-height,ihdtm-catchment-area,mean-flood-plain-depth,mean-flood-plain-location,mean-flood-plain-extent,urbext-1990,urbconc-1990,urbloc-1990,urbext-2000,urbconc-2000,urbloc-2000,data-summary
22006,Blyth at Hartford Bridge,269.4,424293,580003,55.11383,-1.6207,Blyth,Hartford Bridge,24.6,EA-NE,22006,22,01/01/1966,,FVVA,190,36,36,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,PE,01/10/1966,30/09/2022,2.137,0.051,23/08/1976,23/08/1976,138,06/09/2008,06/09/2008,0.134,0.347,0.791,5.08,8.31,0.36,20454,20331,99.399,01/01/1960,,52.591,24,57.8,110.5,185.4,265.2,725,696,0.0699,0.4741,0.4185,0.0064,0.0278,0.0645,0.4427,0.4428,0.0145,0.0343,,0.7238,,0.2762,0.058,0.0142,0.8222,0.42,0.333,0.99,31.9,38.61,33.2,42.8,9.4,44.77,23.1,115,94,0.25,24,273.67,0.838,0.936,0.1148,0.01,0.738,0.889,0.0095,0.802,0.842,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
22007,Wansbeck at Mitford,287.3,417458,585790,55.16612,-1.7275,Wansbeck,Mitford,31.4,EA-NE,22007,22,01/01/1968,,MIS,,35,7,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S,01/11/1968,30/09/2022,3.302,0.1,20/08/1976,20/08/1976,225,06/09/2008,06/09/2008,0.24,0.61,1.3,7.44,11.9,0.37,19692,19687,99.975,01/11/1966,,100.871,30.8,93.9,176.1,283.1,442.2,847,794,0.1907,0.2159,0.5255,0.0592,0.0052,0.1991,0.1855,0.5232,0.0854,0.0029,,0.9847,,0.0153,0.0451,0.028,0.7833,0.45,0.347,0.973,50.8,41.66,34,44.6,9.5,39.01,20.15,182,112,0.26,30.8,282.01,0.547,0.919,0.0591,0.0005,,,0.0003,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
22008,Alwin at Clennell,27.7,392500,606300,55.35066,-2.11982,Alwin,Clennell,156.4,EA-NE,,22,01/01/1969,06/04/1983,FV,,,22.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,01/10/1969,06/04/1983,0.573,0,19/05/1978,28/05/1978,30.63,02/03/1979,02/03/1979,0.078,0.188,0.323,1.262,1.89,0.49,4936,4936,100,,,,158.3,267.1,395,519.4,614.9,999,1003,0.5679,0.0024,0.2978,0.1274,0.0006,0.5615,0.0033,0.281,0.1504,0.0037,,,0.9863,0.0137,,0.2242,0.065,0.45,0.382,1,244.6,55.04,35.6,46.1,9.3,11.28,6.82,392,176,0.27,158.3,27.3,0.125,0.404,0.0101,0,,,0,,,gdf;gmf;cmr;cdr;cdr-d
22009,Coquet at Rothbury,346,406706,601600,55.30845,-1.89591,Coquet,Rothbury,70.7,EA-NE,22009,22,01/01/1972,,VA,223,,10.6,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,N,01/06/1972,30/09/2022,5.86,0.439,04/08/1990,04/08/1990,284,06/09/2008,06/09/2008,0.871,1.86,3.381,12.27,17.83,0.47,18384,18382,99.989,01/04/1972,,133.983,70.3,132.5,277,452.4,774.5,951,905,0.1651,0.1033,0.5593,0.1641,0.0065,0.1317,0.0688,0.4582,0.3356,0.0047,,0.2513,0.4413,0.3099,0.0085,0.1158,0.3046,0.45,0.395,0.994,140.7,45.5,34.3,44.7,9.1,49.15,26.29,284,120,0.16,70.4,345.98,0.464,0.619,0.0359,0.0014,,,0.0018,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
23001,Tyne at Bywell,2175.6,403858,561700,54.94994,-1.9413,Tyne,Bywell,14,EA-NE,23001,23,01/01/1956,,VA,1471,,6,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,S,01/10/1956,30/09/2021,45.263,2.48,07/09/1976,07/09/1976,1450,05/12/2015,05/12/2015,6.09,15.04,25.77,103,153,0.38,23741,23545,99.174,01/08/1956,,837.962,15,140.6,264.5,469.5,891.9,1082,1016,0.2078,0.0569,0.5376,0.1761,0.0102,0.2137,0.0374,0.425,0.3064,0.0082,0.0047,0.9469,0.0056,0.0427,0.018,0.1934,0.4935,0.51,0.318,0.961,93.7,48.19,35.6,47.7,9.9,94.29,55.02,286,83,0.09,15,2172.36,0.719,0.839,0.0504,0.002,,,0.0026,,,gdf;ndf;gmf;nmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
23002,Derwent at Eddys Bridge,118,404107,550791,54.8519,-1.93756,Derwent,Eddys Bridge,181,EA-NE,23002,23,01/01/1954,,FLB,,126,7.3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S,01/10/1954,30/09/2022,0.963,0.083,15/10/1989,15/10/1989,107,06/09/2008,06/09/2008,0.321,0.42,0.466,1.866,3.34,0.56,24837,24790,99.811,01/10/1954,01/10/1965,48.41,182.1,241.5,359.4,492.5,563.2,960,943,0.1063,0.0118,0.427,0.4175,0.0016,0.0616,0.0242,0.3331,0.5487,0.0039,,0.9003,,0.0997,,0.1958,0.1062,0.59,0.316,0.835,96.9,48.18,41.2,52.1,10.4,23.06,11.34,363,49,0.28,182.2,118.11,0.234,0.863,0.0203,0.0003,,,0.0007,,,gdf;ndf;gmf;nmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
23003,North Tyne at Reaverhill,1007.5,390555,573231,55.05348,-2.14938,North Tyne,Reaverhill,64.9,EA-NE,23003,23,01/01/1959,,VA,560,,7.2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S,01/10/1959,30/09/2022,22.256,0.956,25/08/1976,25/08/1976,591,05/12/2015,05/12/2015,2.964,7.406,13.79,49.58,71.36,0.4,23011,22898,99.509,01/01/1959,,437.4,66,165,269.3,413.4,602.7,1091,1023,0.3311,0.0326,0.4315,0.1839,0.0074,0.3484,0.0125,0.3276,0.2952,0.0027,0.0102,0.8926,0.012,0.085,0.0045,0.1861,0.5591,0.5,0.31,0.936,92.3,50.69,34.7,46.3,9.8,66.25,37.97,278,125,0.14,66,1012.98,0.666,0.764,0.0471,0.0005,,,0.0005,,,gdf;ndf;gmf;nmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
23004,South Tyne at Haydon Bridge,751.1,385656,564671,54.97644,-2.22563,South Tyne,Haydon Bridge,59,EA-NE,23004,23,01/01/1962,,VA,,3,11,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N,01/10/1962,31/07/2022,19.703,0.92,09/09/1969,09/09/1969,693,05/12/2015,05/12/2015,2.15,5.5,9.91,47,70.1,0.33,21854,21854,100,01/07/1959,,450.968,53.3,184.6,331.7,550,891.9,1235,1147,0.0763,0.0207,0.6724,0.2152,0.0084,0.0778,0.0062,0.4852,0.4217,0.0064,,1,,,0.0209,0.3001,0.3339,0.6,0.298,0.989,107.1,49.22,38.3,52.4,10.3,60.11,32.2,350,23,0.14,53.5,749.89,0.608,0.817,0.044,0.0013,,,0.0023,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
23005,North Tyne at Tarset,284.9,377647,586133,55.169,-2.35244,North Tyne,Tarset,117,EA-NE,23005,23,01/01/1963,07/07/1987,FVVA,,,14.9,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S,01/10/1963,08/07/1987,8.034,0.512,26/08/1976,27/08/1976,247,23/03/1968,23/03/1968,0.92,2.26,3.937,19,28.3,0.33,8682,8667,99.827,01/09/1960,09/07/1987,221,116.3,195.4,320.3,461.5,602.7,1319,1230,0.5212,0.0209,0.1438,0.2703,0.0073,0.5869,0.0037,0.0792,0.2887,0.0025,0.0317,0.834,,0.1332,0.0033,0.3683,0.418,0.62,0.274,1,108.9,54.54,39,51.2,10.5,36.36,21.38,325,115,0.13,116.4,283.38,0.349,0.836,0.025,0,,,0.0004,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
23006,South Tyne at Featherstone,321.9,367216,561064,54.94315,-2.5133,South Tyne,Featherstone,131.7,EA-NE,23006,23,01/01/1966,,CC,,500,12.1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,N,01/10/1966,30/09/2022,10.683,0.623,17/09/2003,17/09/2003,280,05/12/2015,05/12/2015,1.268,3.118,5.28,26.2,38.72,0.32,20454,20334,99.413,01/10/1966,,242.81,129.3,232.9,438.8,597,891.9,1465,1331,0.0535,0.0078,0.6297,0.3021,0.0034,0.0444,0.0026,0.3782,0.571,0.0024,,1,,,0.0106,0.4492,0.2072,0.64,0.27,0.995,123.5,52.86,41.4,56.8,10.7,35.88,20,429,12,0.19,129.4,323.05,0.46,0.77,0.0303,0.0008,,,0.0015,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
23007,Derwent at Rowlands Gill,242.1,416815,558094,54.91727,-1.73921,Derwent,Rowlands Gill,26.2,EA-NE,23007,23,01/11/1962,,CC,,,11,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,P,01/11/1962,30/09/2022,2.579,0.284,18/04/1972,18/04/1972,122,06/09/2008,06/09/2008,0.84,1.14,1.54,4.95,7.532,0.59,21884,21766,99.461,01/01/1963,,42.949,29.4,129.5,264.9,450.4,563.2,869,849,0.1508,0.1042,0.4195,0.2586,0.0437,0.1286,0.1097,0.3837,0.3239,0.0385,,0.5568,,0.4432,,0.1106,0.338,0.59,0.335,0.908,92,43.82,39.1,49.9,10.1,49.66,26.32,281,50,0.23,29.4,243.99,0.331,0.841,0.0265,0.0177,0.613,0.479,0.0224,0.803,0.497,gdf;ndf;gmf;nmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
23008,Rede at Rede Bridge,343.8,386837,583213,55.14309,-2.20804,Rede,Rede Bridge,107.1,EA-NE,23008,23,01/01/1968,,FVVA,,27,12,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S,01/10/1968,30/09/2022,6.015,0.38,26/08/1976,26/08/1976,218,05/12/2015,05/12/2015,0.623,1.31,2.52,14.7,22.8,0.32,19723,19556,99.153,01/10/1968,,127.3,105.6,179.3,275.1,417.5,578,1024,941,0.1954,0.0144,0.5898,0.1891,0.0055,0.1908,0.0047,0.435,0.3643,0.0022,0.0038,0.821,0.0353,0.14,0.0057,0.1345,0.5038,0.47,0.322,0.978,94.3,49.36,32.7,44,9.4,48.82,25.88,284,129,0.11,105.6,345.2,0.529,0.818,0.0409,0.0006,,,0.0006,,,gdf;ndf;gmf;nmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
23009,South Tyne at Alston,118.5,371543,546530,54.81281,-2.44431,South Tyne,Alston,264,EA-NE,23009,23,01/01/1969,,VA,,0.6,15,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,N,01/10/1969,30/09/2022,4.575,0.063,11/12/1971,11/12/1971,123,22/06/2012,22/06/2012,0.387,1.02,1.93,11.8,17.9,0.24,19358,14771,76.304,01/09/1969,,143.14,262.8,369.1,519.3,647.8,891.9,1708,1522,0.0258,0.0003,0.6362,0.3328,0.0025,0.0192,0.0004,0.3076,0.67,0.0024,,1,,,,0.5561,0.054,0.64,0.266,0.999,119,53.7,45,61.2,11,16.54,10.14,514,5,0.25,263.2,118.67,0.38,0.743,0.0252,0.0006,,,0.0013,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
23010,Tarset Burn at Greenhaugh,96,378922,587885,55.1848,-2.33256,Tarset Burn,Greenhaugh,136,EA-NE,23010,23,01/01/1970,31/12/1980,VA,74,,15.9,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,01/07/1970,30/06/1980,1.75,0.097,12/08/1975,12/08/1975,32.71,27/02/1979,27/02/1979,0.141,0.368,0.713,4.22,6.724,0.27,3653,3653,100,18/06/1970,30/06/1980,63.975,136.9,209.4,298.5,400.5,506,1063,993,0.3118,0.0216,0.3989,0.2633,0.0038,0.3072,0.0025,0.2971,0.3922,0.0009,,1,,,,0.1591,0.5921,0.56,0.305,1,85.2,52.58,34.2,45,9.7,18.45,9.61,301,149,0.25,136.9,95.51,0.349,0.849,0.0291,0.0001,,,0,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
23011,Kielder Burn at Kielder,58.8,364442,594681,55.24503,-2.56081,Kielder Burn,Kielder,214,EA-NE,23011,23,01/01/1970,,FVVA,46,9.1,18,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,N,01/07/1970,30/09/2022,1.893,0.121,05/07/1970,05/07/1970,53.5,03/11/1984,03/11/1984,0.267,0.554,0.905,4.49,7.064,0.32,19085,18696,97.962,18/06/1970,,65.641,214.6,280.2,421,519,602.5,1401,1199,0.3123,0.0048,0.0856,0.5973,,0.3369,0.0004,0.0506,0.6103,0.0017,0.0478,0.6421,,0.3131,,0.5258,0.1487,0.59,0.273,1,136.6,55.03,38.3,50.9,10.6,13.22,7.77,408,189,0.16,214.6,58.59,0.284,0.673,0.02,0,,,0,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
23012,East Allen at Wide Eals,88,380210,558329,54.91926,-2.31027,East Allen,Wide Eals,148.6,EA-NE,23012,23,01/01/1971,31/12/1980,VA,,,13.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,01/06/1971,31/12/1980,2.127,0.118,18/07/1976,18/07/1976,63.38,02/03/1979,02/03/1979,0.234,0.575,1.007,4.877,7.876,0.34,3502,3502,100,,,,149.9,256.7,378.5,525.4,673,1152,1050,0.0528,0.0114,0.7379,0.1854,0.0047,0.0456,0.0014,0.507,0.4403,0.0049,,1,,,,0.1733,0.3018,0.59,0.298,0.997,106,47.58,40.2,53.6,10.3,23.04,12.1,386,17,0.23,150.6,88.25,0.372,0.847,0.0268,0.0017,,,0.0017,,,gdf;gmf;cmr;cdr;cdr-d
23013,West Allen at Hindley Wrae,75.1,379078,558271,54.91869,-2.32793,West Allen,Hindley Wrae,155.1,EA-NE,23013,23,01/01/1971,31/12/1980,VA,,,22.4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,01/06/1971,31/12/1980,1.635,0.022,30/05/1980,04/06/1980,37.77,02/03/1979,02/03/1979,0.06,0.323,0.709,4.089,6.382,0.27,3502,3502,100,11/05/1971,17/07/1983,53.825,156.1,257.9,410.3,522.2,673,1259,1156,0.0581,0.0021,0.666,0.263,0.0025,0.0503,0.0013,0.4285,0.5183,0.0013,,1,,,,0.3729,0.3113,0.63,0.28,0.998,119.4,51.63,39.2,54.2,10.3,18.05,9.63,402,36,0.27,156.4,78.56,0.292,0.754,0.0224,0.0003,,,0.0004,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
23014,North Tyne at Kielder temporary,27,363100,593500,55.23432,-2.58176,North Tyne,Kielder temporary,187,EA-NE,,23,01/01/1960,31/10/1974,VA,,,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,01/10/1960,31/10/1974,0.815,0.032,07/10/1973,07/10/1973,19.47,23/03/1968,23/03/1968,0.104,0.251,0.404,1.855,2.913,0.35,5144,5143,99.981,,,,190,225.5,340.5,474.7,602.7,1395,1288,0.484,0.0303,0.199,0.281,0.0056,0.7077,0.0111,0.0725,0.2067,0.002,0.1785,0.5179,,0.276,,0.3056,0.3155,0.62,0.282,1,130.7,51.76,39.1,50.6,10.7,10.08,5.76,343,86,0.06,190,26.82,0.333,0.73,0.0295,0,,,0.0012,,,gdf;gmf;cmr;cdr;cdr-d
23015,North Tyne at Barrasford,1043.8,392400,572100,55.04335,-2.12047,North Tyne,Barrasford,60,EA-NE,23015,23,01/01/1939,31/12/1959,FLVA,830,9,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SP,01/01/1942,30/09/1959,17.234,1.303,13/07/1949,13/07/1949,430.2,25/12/1949,25/12/1949,2.095,4.474,7.731,40.49,64,0.3,6482,5721,88.26,12/10/1939,31/12/1959,404.72,58.5,159.7,265.8,410.3,602.7,1080,1013,0.3237,0.0358,0.4408,0.1778,0.0075,0.3404,0.0163,0.3397,0.2864,0.0031,0.0098,0.8963,0.0116,0.082,0.0044,0.1796,0.5691,0.5,0.311,0.989,90.9,50.44,34.6,46.1,9.8,69.16,39.76,275,129,0.14,58.5,1049.63,0.676,0.762,0.0489,0.0005,,,0.0006,,,gdf;gmf;nmf;cmr;cdr;cdr-d;pot-flow;amax-flow
23016,Ouse Burn at Crag Hall,55,425409,567548,55.00186,-1.60431,Ouse Burn,Crag Hall,36,EA-NE,23016,23,01/01/1976,,TP B,,4,35,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,E,01/01/1990,30/09/2022,0.323,0.003,10/08/1990,11/08/1990,18.5,06/09/2008,06/09/2008,0.03,0.07,0.128,0.717,1.18,0.29,11961,11914,99.607,,,,34.9,50.9,68.1,101.9,143.5,678,668,0.0572,0.3382,0.1634,0.012,0.4114,0.0566,0.2745,0.1887,0.0007,0.4776,,,,1,0.1317,,0.8564,0.33,0.312,0.961,22.2,39.7,32.8,43,9.4,15.12,6.85,72,72,0.13,34.9,53.62,1.647,0.783,0.2032,0.2077,0.826,0.814,0.2874,0.934,0.813,gdf;gmf;cmr;cdr;cdr-d
23017,Team at Team Valley,61.9,424964,558471,54.92032,-1.61206,Team,Team Valley,9.2,EA-NE,23017,23,01/01/1991,,VA,31,,10,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,E,01/01/1982,30/09/2022,0.976,0.165,10/08/1987,10/08/1987,16.3,06/11/2000,06/11/2000,0.432,0.602,0.719,1.76,2.58,0.69,14883,13491,90.647,,,12.11,12.1,32.4,124.5,219.2,310.6,702,685,0.0898,0.2656,0.3307,0.0277,0.2722,0.1033,0.3364,0.3686,0.0031,0.1874,,,,1,,,0.7225,0.33,0.371,0.995,63.9,36.02,34.6,43.7,9.8,22,10.17,124,94,0.15,12.2,62.35,0.519,0.637,0.0664,0.0948,0.738,0.769,0.135,0.859,0.856,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
23018,Ouse Burn at Woolsington,9,419398,569862,55.02292,-1.69813,Ouse Burn,Woolsington,63.4,EA-NE,23018,23,01/01/1991,,FVUS,,2,10,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,N,19/10/1983,30/09/2022,0.072,0,03/08/1986,02/09/2022,5.08,06/09/2008,06/09/2008,0.003,0.013,0.027,0.144,0.269,0.3,14227,12688,89.183,01/01/1973,,3.265,64.9,73.2,88.1,116.6,143.5,695,670,0.0121,0.6746,0.1826,0.0065,0.108,0.0332,0.5686,0.2617,,0.1344,,,,1,,,0.9375,0.45,0.312,0.977,30.9,39.7,34.2,43.4,9.4,5.99,2.89,91,67,0.25,64.9,10.14,0.799,0.773,0.1307,0.0609,0.833,1.205,0.1,0.944,1.197,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
23022,North Tyne at Uglydub,241.5,371262,587574,55.18161,-2.45282,North Tyne,Uglydub,135,EA-NE,23022,23,01/01/1983,,FV,,80,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,SR,01/05/1982,30/09/2022,8.163,0.334,29/02/1984,29/02/1984,155,05/12/2015,05/12/2015,1.49,2.92,6.44,16.3,17.85,0.5,14763,14656,99.275,,,,134.9,213.7,337.6,470.6,602.7,1359,1262,0.5297,0.0146,0.1013,0.3054,0.0067,0.6046,0.0025,0.0408,0.3049,0.0023,0.037,0.8066,,0.1552,0.0038,0.4222,0.3563,0.62,0.268,0.788,111.4,55.09,39.6,52,10.6,27.29,14.55,339,106,0.13,134.9,243.2,0.267,0.947,0.0206,0,,,0.0005,,,gdf;gmf;cmr;cdr;cdr-d
23033,Rede at Otterburn,180.63,386400,594400,55.2436,-2.21544,Rede,Otterburn,,EA-NE,23033,23,2000-08,,VA,,,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,27/06/2000,30/09/2021,3.971,0.219,25/07/2006,27/07/2006,133.4,05/12/2015,05/12/2015,0.402,0.802,1.443,9.581,16.07,0.27,7766,7684,98.944,27/06/2000,,144.644,151,218.5,319.5,462.3,578,1124,1024,0.2709,0.0107,0.4834,0.2221,0.0043,0.2669,0.003,0.2805,0.4424,0.0017,0.0072,0.6579,0.0675,0.2676,,0.231,0.407,0.49,0.31,0.963,110.6,51.15,33.8,45.4,9.6,28.11,14.68,329,122,0.16,151,180.63,0.404,0.712,0.0305,0.0005,,,0.0003,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
24001,Wear at Sunderland Bridge,657.8,426520,537734,54.73389,-1.58967,Wear,Sunderland Bridge,40.2,EA-NE,24001,24,01/10/1957,,CB,613,,10,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,SRGE,01/10/1957,30/09/2021,11.29,0.903,04/10/1959,04/10/1959,354.4,05/11/1967,05/11/1967,1.894,3.356,5.83,25.89,40.22,0.42,23376,23149,99.029,01/10/1957,,191.242,39.5,116.1,286.3,515.1,745.3,970,932,0.0843,0.1422,0.5333,0.1836,0.0413,0.0825,0.119,0.4576,0.3041,0.0338,0.0083,0.5794,,0.4123,0.0015,0.1149,0.4076,0.47,0.342,0.978,97.7,43.94,35.8,46.9,10.1,71.51,40.1,301,95,0.2,39.5,661.17,0.488,0.726,0.0347,0.0148,0.615,0.505,0.0193,0.76,0.497,gdf;ndf;gmf;nmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
24002,Gaunless at Bishop Auckland,93,421400,530700,54.67092,-1.6697,Gaunless,Bishop Auckland,64.8,EA-NE,24002,24,01/10/1958,01/06/2004,C,63,65,39,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,I,01/10/1958,01/06/2004,0.93,0.032,10/03/1974,10/03/1974,24.3,06/11/2000,06/11/2000,0.158,0.348,0.532,1.93,3.03,0.5,16681,11764,70.523,,,,64,107,172.8,301.9,454.5,789,729,0.0535,0.2885,0.5108,0.0373,0.096,0.0486,0.2748,0.5774,0.0285,0.0707,0.0383,0.0227,,0.9391,,0.0081,0.8216,0.42,0.37,0.999,61,38.06,30.8,39.6,10,33.3,16.08,189,102,0.19,64,92.05,0.42,0.792,0.0482,0.0352,0.673,0.5,0.048,0.79,0.511,gdf;gmf;cmr;cdr;cdr-d
24003,Wear at Stanhope,171.9,398366,539040,54.74632,-2.0269,Wear,Stanhope,202,EA-NE,24003,24,01/01/1958,,CC,,180,14,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,SE,01/10/1958,30/09/2022,3.929,0.235,06/09/1959,06/09/1959,139,05/12/2015,05/12/2015,0.505,1.019,1.74,9.48,15.6,0.33,23376,23070,98.691,24/09/1958,,125.549,202.4,325.8,473,615.5,745.3,1313,1279,0.0377,0.0008,0.7204,0.2098,0.003,0.028,0.003,0.4023,0.5609,0.0031,,1,,,0.0045,0.2903,0.1873,0.59,0.3,0.978,132.2,50.81,42.4,55.3,10.4,23.47,13.24,472,75,0.17,202.7,173.49,0.347,0.739,0.0195,0.0016,,,0.0015,,,gdf;ndf;gmf;nmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
